Today, I will present our work titled "Detecting Safety Violations Across Many Agent Traces." | "Detecting Safety Violations Across Many Agent Traces" (title, center)
This research was conducted by Adam Stein, Davis Brown, Hamed Hassani, Mayur Naik, and Eric Wong. | "Adam Stein Davis Brown Hamed Hassani Mayur Naik Eric Wong" (author block, center)
We are with the University of Pennsylvania, and the presentation is based on our June 2026 preprint. | "University of Pennsylvania {steinad,davisbr,hassani,mhnaik,exwong}@seas.upenn.edu June 2026" (affiliation and date, center)
###

AI safety auditing has traditionally focused on single agent traces, as shown in the first bullet. | "AI safety auditing traditionally focuses on single agent traces." (first bullet)
However, in practical deployments, violations appear distributed across multiple traces. | "violations are distributed and only visible across multiple traces." (second bullet)
Existing approaches often miss failures that require joint analysis, as indicated in the third point. | "Existing work is limited: per-trace methods miss failures requiring joint analysis." (third bullet)
We face challenges such as rare failures, adversarial disguises, and scale, detailed in the challenge section. | "Key challenges:" (challenge bullet)
These issues motivate new approaches for detecting cross-trace safety violations. | "cross-trace safety violations." (final bullet)
###

This slide illustrates a motivating example: distributed ransomware detection. | "Motivating Example: Distributed Ransomware Detection" (slide title)
The figure shows how benign-looking traces, when combined, violate the safety property against ransomware. | The figure containing numbered items, arrows, and verdicts in the diagram (center graphic)
A small set of traces, called the violating witness set W, enables a successful ransomware attack. | "Figure: A small set of benign-appearing traces enable a ransomware attack when considered together (violating witness set W)." (figure caption)
###

Prior research includes single-trace monitoring for sabotage and deception detection. | "Single-trace monitoring: Detects sabotage, reward hacking, deception." (first bullet)
Automated audits leverage red teaming and LLM-based evaluations. | "Automated audits: Red teaming and LLM-based evaluations." (second bullet)
Corpus-scale analysis enables human exploration and clustering of traces at scale. | "Corpus-scale analysis: For human exploration and clustering." (third bullet)
However, most methods miss hyperproperty violations and formal methods struggle at scale and with language. | "Most methods miss hyperproperty violations across sets of traces." (gap bullet, fourth bullet)
###

Our goal is to audit a repository of agent traces for violation of a natural-language property φ. | "Goal Audit a repository R of agent traces for violation of a natural-language property φ." (goal box, center)
Our method finds sets, or witnesses, of traces that collectively form a violation. | "Finds sets (witnesses) of traces forming a violation, not just outliers." (first step bullet)
The process includes embedding traces, clustering them, constructing prompts, and searching for violating sets. | "Steps: 1 Represent traces as embeddings: {e_i} 2 Cluster traces (e.g. k-means) 3 Construct agent prompt with φ, traces, clusters 4 Agentic search proposes witness sets, scores traces, produces verdict" (steps block)
This framework enables joint analysis to detect failures missed by per-trace monitoring. | "Joint analysis reveals failures missed in per-trace monitoring." (joint analysis bullet)
###

We define the setup with a repository R of traces and a forbidden safety property φ in natural language. | "Repository R = {t_i}_{i=1}^n: trace set." (first bullet)
A cross-trace violation occurs if a subset W of traces jointly violates φ. | "Violating witness sets W ⊆ P(R) jointly violate φ." (third bullet)
The objective is to identify such witness sets or conclude no violation exists. | "Goal: Find such W or conclude no violation." (goal bullet)
Key challenges include visibility only across traces, a majority of benign traces, and adversarial disguises. | "Challenges:" (challenges bullet)
